datetime,MU_buy_hold,S12_full,L1+L4
2026-04-16,260661.85738484858,78515.96230698716,87726.86664846259
2026-04-17,259568.8487237257,78515.96230698716,87726.86664846259
2026-04-20,255814.6373049987,78515.96230698716,87726.86664846259
2026-04-21,256369.419265236,78515.96230698716,87726.86664846259
2026-04-22,277695.36591578776,78515.96230698716,87726.86664846259
2026-04-23,274410.7083521893,78515.96230698716,87726.86664846259
2026-04-24,282942.3683002808,78515.96230698716,87726.86664846259
2026-04-27,298584.4413241016,78515.96230698716,87726.86664846259
2026-04-28,287064.40999208856,78515.96230698716,87726.86664846259
2026-04-29,295307.7726875505,80739.2260662928,88347.8867493638
2026-04-30,294719.8486843344,80578.4835007536,88303.91411466082
2026-05-01,309177.7080327254,84531.36413014184,90461.01448068126
2026-05-04,328405.4805197908,89788.37262489273,93273.90130950719
2026-05-05,363776.790745902,99459.13809989628,98296.9905922992
2026-05-06,378664.286313789,99419.35444465633,98277.33119418075
2026-05-07,367278.8683635029,96390.31376742647,97528.76962007982
2026-05-08,422418.28007259784,96351.75764191951,97519.0167431178
2026-05-11,449785.2837500964,96351.75764191951,97519.0167431178
2026-05-12,433403.94586836133,96351.75764191951,97519.0167431178
2026-05-13,454659.638105584,96351.75764191951,97519.0167431178
2026-05-14,438899.91797594965,96351.75764191951,97519.0167431178
2026-05-15,409591.7873331031,96351.75764191951,97519.0167431178
2026-05-18,386558.7788980888,96351.75764191951,97519.0167431178
2026-05-19,396765.3599452745,96351.75764191951,97519.0167431178
2026-05-20,415728.8028603667,96351.75764191951,97519.0167431178
2026-05-21,432742.80510343006,96351.75764191951,97519.0167431178
2026-05-22,426416.8575756491,96351.75764191951,97519.0167431178
2026-05-26,505054.13512080093,96351.75764191951,97519.0167431178
2026-05-27,524353.9312537521,96351.75764191951,97519.0167431178
2026-05-28,521597.5803498699,96351.75764191951,97519.0167431178
2026-05-29,548137.3349286773,96351.75764191951,97519.0167431178
2026-06-01,583990.0528056017,96351.75764191951,97519.0167431178
2026-06-02,600009.677143213,96351.75764191951,97519.0167431178
2026-06-03,608728.3371766858,96351.75764191951,97519.0167431178
2026-06-04,561156.0645699651,96351.75764191951,97519.0167431178
2026-06-05,484316.9197328692,96351.75764191951,97519.0167431178
2026-06-08,531626.1837672847,96351.75764191951,97519.0167431178
2026-06-09,525280.1432176253,96351.75764191951,97519.0167431178
2026-06-10,500326.240513633,96351.75764191951,97519.0167431178
2026-06-11,557953.576247322,96351.75764191951,97519.0167431178
2026-06-12,550100.095152714,96351.75764191951,97519.0167431178
2026-06-15,608450.5557187224,96351.75764191951,97519.0167431178
2026-06-16,571322.781940551,96351.75764191951,97519.0167431178
2026-06-17,584264.0981268488,96351.75764191951,97519.0167431178
2026-06-18,634268.8368803739,96351.75764191951,97519.0167431178
2026-06-22,677113.918155533,96351.75764191951,97519.0167431178
2026-06-23,585978.6498190732,96351.75764191951,97519.0167431178
2026-06-24,584690.8078806524,96351.75764191951,97519.0167431178
2026-06-25,678351.2918760782,96351.75764191951,97519.0167431178
2026-06-26,632698.9280501086,96351.75764191951,97519.0167431178
2026-06-29,639964.6391136791,96351.75764191951,97519.0167431178
2026-06-30,645001.8829055002,96351.75764191951,97519.0167431178
2026-07-01,574968.0247972425,96351.75764191951,97519.0167431178
2026-07-02,543700.7288254217,96351.75764191951,97519.0167431178
2026-07-06,549295.9948169959,96351.75764191951,97519.0167431178
2026-07-07,524004.1711917093,96351.75764191951,97519.0167431178
2026-07-08,530843.4452214286,96351.75764191951,97519.0167431178
2026-07-09,555738.8306181337,96351.75764191951,97519.0167431178
2026-07-10,549044.9025252331,96351.75764191951,97519.0167431178
2026-07-13,525572.246483005,96351.75764191951,97519.0167431178
2026-07-14,551594.7653317171,96351.75764191951,97519.0167431178
2026-07-15,507059.7314428593,96351.75764191951,97519.0167431178
2026-07-16,478088.18505462114,96351.75764191951,97519.0167431178
2026-07-17,476258.72545894276,96351.75764191951,97519.0167431178
2026-07-20,485987.31506795395,96351.75764191951,97519.0167431178
2026-07-21,543498.2463654808,96351.75764191951,97519.0167431178
2026-07-22,537562.2915821843,96351.75764191951,97519.0167431178
2026-07-23,554643.6378504005,96351.75764191951,97519.0167431178
2026-07-24,515155.74758992397,96351.75764191951,97519.0167431178
2026-07-27,503771.2182582334,96351.75764191951,97519.0167431178
2026-07-28,458415.6483598164,96351.75764191951,97519.0167431178
2026-07-29,413652.42382169276,96351.75764191951,97519.0167431178
2026-07-30,486472.82212389546,96351.75764191951,97519.0167431178
2026-07-31,460385.9553566236,96351.75764191951,97519.0167431178
2026-08-03,465130.4447011079,96351.75764191951,97519.0167431178
2026-08-04,499928.05598521244,96351.75764191951,97519.0167431178
2026-08-05,500256.0710996615,96351.75764191951,97519.0167431178
2026-08-06,494968.10518980474,96351.75764191951,97519.0167431178
